"artist_num","danceability","energy","loudness","speechiness","acousticness","liveness","valence","tempo","key","mode","n_weeks","art_popularity","best_rank","max_streams"
1,0.899,0.626,-4.228,0.292,0.076,0.0631,0.873,88.007,6,0,10,0.88,98,4422007
2,0.716,0.908,-3.254,0.103,0.0858,0.135,0.869,91.03,8,0,10,0.77,99,4372050
3,0.779,0.671,-5.829,0.0814,0.153,0.115,0.718,104.953,9,1,9,0.543333333333333,86,4887947
2,0.542,0.72,-5.136,0.0628,0.147,0.348,0.623,149.828,1,0,7,0.915,97,4399980
2,0.611,0.7,-5.331,0.0436,0.0199,0.0549,0.213,104.981,9,1,7,0.695,102,4329068
1,0.614,0.379,-10.48,0.0476,0.607,0.0986,0.201,107.989,4,1,145,0.906689655172414,41,8100952
2,0.51,0.692,-5.825,0.171,0.00451,0.138,0.209,102.42,0,1,6,0.685,104,4278981
1,0.695,0.672,-6.109,0.0345,0.014,0.0756,0.245,104.988,1,0,9,0.7,105,4238426
1,0.609,0.887,-4.749,0.0507,0.0504,0.09,0.316,97.99,9,0,18,0.84,55,7036360
2,0.756,0.674,-6.518,0.0959,0.0184,0.158,0.389,111.995,0,0,7,0.8,107,4213342
1,0.822,0.544,-6.797,0.0332,0.562,0.144,0.861,122.047,0,1,11,0.71,103,4236925
2,0.595,0.662,-6.858,0.0362,0.0178,0.0804,0.417,96.053,11,0,9,0.51,75,5387811
2,0.906,0.444,-8.692,0.384,0.136,0.173,0.678,140.063,4,0,11,0.835,93,4576890
1,0.772,0.504,-8.219,0.0761,0.129,0.125,0.244,140.035,6,0,7,0.94,104,4272993
1,0.721,0.687,-6.682,0.0782,0.0998,0.0679,0.825,175.914,1,1,18,0.88,94,4797458
3,0.723,0.809,-3.081,0.0625,0.00346,0.565,0.274,98.007,7,0,27,0.743333333333333,113,4019075
4,0.761,0.829,-3.203,0.0681,0.167,0.189,0.813,92.033,0,0,24,0.6875,74,5393824
2,0.562,0.906,-2.085,0.0758,0.105,0.145,0.674,124.146,4,1,8,0.635,115,3982786
1,0.635,0.847,-3.152,0.447,0.533,0.154,0.568,166.072,7,1,4,0.62,116,3972504
1,0.687,0.409,-7.751,0.0311,0.71,0.126,0.16,111.861,9,1,9,0.76,107,4041840
1,0.745,0.356,-10.425,0.0941,0.172,0.123,0.607,160.033,1,1,68,0.79,35,11821969
1,0.673,0.637,-4.518,0.0429,0.137,0.184,0.678,123.98,5,1,30,0.77,25,11877212
1,0.781,0.445,-6.061,0.0295,0.474,0.184,0.591,78.998,2,1,124,0.908064516129032,58,6174168
1,0.608,0.174,-8.796,0.0332,0.851,0.0855,0.193,112.175,1,1,8,0.78,115,3875013
1,0.584,0.7,-4.275,0.0456,0.117,0.0939,0.438,124.944,11,1,11,0.77,122,3861117
2,0.811,0.801,-6,0.0802,0.0548,0.0742,0.693,105.055,9,0,3,0.43,121,3812898
1,0.694,0.712,-3.923,0.046,0.132,0.211,0.799,98.023,7,0,11,0.76,124,4226528
1,0.576,0.782,-4.825,0.0296,0.00778,0.285,0.355,141.153,6,0,5,0.76,125,3739087
3,0.652,0.795,-5.192,0.174,0.156,0.123,0.788,135.018,11,0,18,0.793333333333333,89,4998085
1,0.481,0.451,-6.095,0.0347,0.336,0.0872,0.289,157.966,5,0,11,0.85,124,4097337
2,0.494,0.559,-5.445,0.0565,0.436,0.164,0.264,119.247,0,1,7,0.65,128,3684307
2,0.716,0.806,-7.602,0.0466,0.0361,0.244,0.347,100.033,4,1,5,0.71,129,3608588
2,0.746,0.653,-6.745,0.289,0.378,0.229,0.672,75.016,7,1,45,0.725,21,14108923
1,0.671,0.916,-4.014,0.0397,0.0282,0.24,0.803,126.01,6,0,3,0.74,131,3554030
1,0.509,0.637,-4.83,0.0471,0.0717,0.0789,0.378,172.006,4,0,26,0.89,68,6985928
1,0.73,0.701,-5.885,0.106,0.132,0.151,0.785,175.95,5,0,9,0.85,133,3540886
2,0.711,0.739,-3.804,0.129,0.114,0.226,0.43,136.919,7,0,11,0.86,130,3624025
2,0.634,0.525,-8.968,0.47,0.0705,0.0729,0.49,130.271,0,1,9,0.69,88,4796429
1,0.845,0.567,-8.118,0.0956,0.59,0.0811,0.793,125.02,5,0,6,0.91,136,3524637
1,0.746,0.754,-6.681,0.067,0.0152,0.0486,0.764,149.882,1,1,11,0.85,137,3519447
1,0.898,0.283,-12.335,0.356,0.319,0.11,0.469,138.97,6,0,4,0.86,138,3496249
2,0.68,0.954,-1.823,0.119,0.0244,0.112,0.521,104.029,9,1,12,0.765,139,3633198
1,0.772,0.909,-3.225,0.166,0.256,0.255,0.694,96.031,6,0,25,0.77,79,5220885
1,0.843,0.359,-7.417,0.461,0.069,0.12,0.156,81.987,0,1,6,0.86,120,3910990
2,0.741,0.891,-2.824,0.119,0.0437,0.256,0.449,102.002,7,1,19,0.845,80,5092269
2,0.76,0.838,-3.828,0.0529,0.547,0.0664,0.745,93.05,7,0,42,0.81,87,5216646
1,0.57,0.763,-4.137,0.0573,0.0857,0.0932,0.43,150.088,1,1,8,0.59,112,4281481
1,0.706,0.674,-6.977,0.0337,0.11,0.0784,0.545,113.956,9,1,2,0.39,145,3318446
1,0.706,0.505,-6.923,0.193,0.142,0.164,0.388,160.053,8,1,9,0.94,113,4553142
1,0.903,0.62,-8.094,0.0587,0.00347,0.0504,0.539,134.96,2,1,6,0.95,147,3281748
2,0.68,0.774,-3.136,0.0697,0.101,0.113,0.331,102.949,1,0,4,0.605,148,3259850
1,0.88,0.605,-7.639,0.0531,0.104,0.106,0.626,120.017,5,0,2,0.48,145,3310603
2,0.852,0.553,-7.286,0.187,0.0559,0.332,0.656,142.079,1,1,6,0.915,150,3273457
1,0.744,0.43,-10.604,0.309,0.455,0.126,0.266,92.039,3,0,2,0.86,151,3145454
1,0.853,0.56,-4.961,0.0406,0.013,0.0944,0.86,134.066,1,1,77,0.88,6,23631979
1,0.681,0.314,-9.319,0.0581,0.2,0.1,0.166,139.992,8,1,32,0.73,71,6369973
1,0.738,0.885,-5.547,0.206,0.0133,0.0821,0.752,112.878,9,0,3,0.94,154,3119482
1,0.756,0.589,-5.093,0.232,0.0812,0.176,0.811,146.928,0,1,1,0.78,155,3111623
2,0.675,0.937,-3.525,0.0509,0.152,0.154,0.567,103.961,0,0,6,0.605,140,3528959
1,0.356,0.567,-7.011,0.0798,0.0861,0.137,0.109,135.553,0,0,8,0.94,157,3090235
1,0.6,0.412,-9.343,0.344,0.615,0.134,0.408,113.049,8,1,2,0.62,158,3071101
1,0.607,0.718,-4.095,0.0978,0.032,0.403,0.551,101.821,4,1,25,0.78,59,7665099
3,0.671,0.826,-5.766,0.309,0.00718,0.631,0.774,123.986,7,0,2,0.703333333333333,160,3050982
5,0.772,0.547,-6.373,0.0541,0.0983,0.107,0.0957,130.099,6,0,5,0.742,161,3113446
1,0.671,0.71,-6.997,0.109,0.335,0.074,0.233,102.022,9,0,2,0.77,162,3034502
1,0.546,0.311,-10.396,0.0288,0.818,0.107,0.246,147.464,1,1,11,0.73,150,3434220
2,0.723,0.889,-4.017,0.0939,0.0673,0.363,0.701,101.032,0,1,14,0.745,130,4057915
1,0.273,0.794,-6.644,0.0675,0.0217,0.0616,0.377,95.902,7,0,4,0.39,142,3504674
